[name_128_129]
ConfigVer=20260320_898554498
IC2603=中证500 2603
IC2604=中证500 2604
IC2606=中证500 2606
IC2609=中证500 2609
IC9999=中证500 主连
ICLX0=中证500 当月
ICLX1=中证500 下月
ICLX2=中证500 下季
ICLX3=中证500 隔季
IF2603=沪深300 2603
IF2604=沪深300 2604
IF2606=沪深300 2606
IF2609=沪深300 2609
IF9999=沪深300 主连
IFLX0=沪深300 当月
IFLX1=沪深300 下月
IFLX2=沪深300 下季
IFLX3=沪深300 隔季
IH2603=上证50 2603
IH2604=上证50 2604
IH2606=上证50 2606
IH2609=上证50 2609
IH9999=上证50 主连
IHLX0=上证50 当月
IHLX1=上证50 下月
IHLX2=上证50 下季
IHLX3=上证50 隔季
IM2603=中证1000 2603
IM2604=中证1000 2604
IM2606=中证1000 2606
IM2609=中证1000 2609
IM9999=中证1000 主连
IMLX0=中证1000 当月
IMLX1=中证1000 下月
IMLX2=中证1000 下季
IMLX3=中证1000 隔季
T2606=十年国债2606
T2609=十年国债2609
T2612=十年国债2612
T9999=十年国债主连
TF2606=五年国债2606
TF2609=五年国债2609
TF2612=五年国债2612
TF9999=五年国债主连
TFLX0=五年国债当季
TFLX1=五年国债下季
TFLX2=五年国债隔季
TL2606=三十年国债2606
TL2609=三十年国债2609
TL2612=三十年国债2612
TL9999=三十年国债主连
TLLX0=三十年国债当季
TLLX1=三十年国债下季
TLLX2=三十年国债隔季
TLX0=十年国债当季
TLX1=十年国债下季
TLX2=十年国债隔季
TS2606=二年国债2606
TS2609=二年国债2609
TS2612=二年国债2612
TS9999=二年国债主连
TSLX0=二年国债当季
TSLX1=二年国债下季
TSLX2=二年国债隔季
[name_128_130]
AJmBY=沪深300 2606购4400|IO2606-C-4400@s
AJmBc=沪深300 2606购5200|IO2606-C-5200@s
AJmBg=沪深300 2606购5400|IO2606-C-5400@s
AO4B0=沪深300 2609购4500|IO2609-C-4500@s
AO4B2=沪深300 2609购4600|IO2609-C-4600@s
AO4B4=沪深300 2609购4700|IO2609-C-4700@s
AO4B6=沪深300 2609购4800|IO2609-C-4800@s
AO4B8=沪深300 2609购4900|IO2609-C-4900@s
AO4B@=沪深300 2609购5000|IO2609-C-5000@s
AO4BQ=沪深300 2609购4000|IO2609-C-4000@s
AO4BS=沪深300 2609购4100|IO2609-C-4100@s
AO4BU=沪深300 2609购4200|IO2609-C-4200@s
AO4BW=沪深300 2609购4300|IO2609-C-4300@s
AO4BY=沪深300 2609购4400|IO2609-C-4400@s
AO4Bc=沪深300 2609购5200|IO2609-C-5200@s
AO4Bg=沪深300 2609购5400|IO2609-C-5400@s
ATKB0=沪深300 2612购4500|IO2612-C-4500@s
ATKB2=沪深300 2612购4600|IO2612-C-4600@s
ATKB4=沪深300 2612购4700|IO2612-C-4700@s
ATKB6=沪深300 2612购4800|IO2612-C-4800@s
ATKB8=沪深300 2612购4900|IO2612-C-4900@s
ATKB@=沪深300 2612购5000|IO2612-C-5000@s
ATKBS=沪深300 2612购4100|IO2612-C-4100@s
ATKBU=沪深300 2612购4200|IO2612-C-4200@s
ATKBW=沪深300 2612购4300|IO2612-C-4300@s
ATKBY=沪深300 2612购4400|IO2612-C-4400@s
ATKBc=沪深300 2612购5200|IO2612-C-5200@s
ATKBg=沪深300 2612购5400|IO2612-C-5400@s
AXqB0=沪深300 2603沽4500|IO2603-P-4500@s
AXqB1=沪深300 2603沽4550|IO2603-P-4550@s
AXqB2=沪深300 2603沽4600|IO2603-P-4600@s
AXqB3=沪深300 2603沽4650|IO2603-P-4650@s
AXqB4=沪深300 2603沽4700|IO2603-P-4700@s
AXqB5=沪深300 2603沽4750|IO2603-P-4750@s
AXqB6=沪深300 2603沽4800|IO2603-P-4800@s
AXqB7=沪深300 2603沽4850|IO2603-P-4850@s
AXqB8=沪深300 2603沽4900|IO2603-P-4900@s
AXqB9=沪深300 2603沽4950|IO2603-P-4950@s
AXqB@=沪深300 2603沽5000|IO2603-P-5000@s
AXqBA=沪深300 2603沽3200|IO2603-P-3200@s
AXqBC=沪深300 2603沽3300|IO2603-P-3300@s
AXqBE=沪深300 2603沽3400|IO2603-P-3400@s
AXqBG=沪深300 2603沽3500|IO2603-P-3500@s
AXqBI=沪深300 2603沽3600|IO2603-P-3600@s
AXqBK=沪深300 2603沽3700|IO2603-P-3700@s
AXqBM=沪深300 2603沽3800|IO2603-P-3800@s
AXqBO=沪深300 2603沽3900|IO2603-P-3900@s
AXqBQ=沪深300 2603沽4000|IO2603-P-4000@s
AXqBS=沪深300 2603沽4100|IO2603-P-4100@s
AXqBT=沪深300 2603沽4150|IO2603-P-4150@s
AXqBU=沪深300 2603沽4200|IO2603-P-4200@s
AXqBV=沪深300 2603沽4250|IO2603-P-4250@s
AXqBW=沪深300 2603沽4300|IO2603-P-4300@s
AXqBX=沪深300 2603沽4350|IO2603-P-4350@s
AXqBY=沪深300 2603沽4400|IO2603-P-4400@s
AXqBZ=沪深300 2603沽4450|IO2603-P-4450@s
AXqBa=沪深300 2603沽5100|IO2603-P-5100@s
AXqBc=沪深300 2603沽5200|IO2603-P-5200@s
AXqBe=沪深300 2603沽5300|IO2603-P-5300@s
AXqBg=沪深300 2603沽5400|IO2603-P-5400@s
AZ0B0=沪深300 2604沽4500|IO2604-P-4500@s
AZ0B1=沪深300 2604沽4550|IO2604-P-4550@s
AZ0B2=沪深300 2604沽4600|IO2604-P-4600@s
AZ0B3=沪深300 2604沽4650|IO2604-P-4650@s
AZ0B4=沪深300 2604沽4700|IO2604-P-4700@s
AZ0B5=沪深300 2604沽4750|IO2604-P-4750@s
AZ0B6=沪深300 2604沽4800|IO2604-P-4800@s
AZ0B7=沪深300 2604沽4850|IO2604-P-4850@s
AZ0B8=沪深300 2604沽4900|IO2604-P-4900@s
AZ0B9=沪深300 2604沽4950|IO2604-P-4950@s
AZ0B@=沪深300 2604沽5000|IO2604-P-5000@s
AZ0BS=沪深300 2604沽4100|IO2604-P-4100@s
AZ0BT=沪深300 2604沽4150|IO2604-P-4150@s
AZ0BU=沪深300 2604沽4200|IO2604-P-4200@s
AZ0BV=沪深300 2604沽4250|IO2604-P-4250@s
AZ0BW=沪深300 2604沽4300|IO2604-P-4300@s
AZ0BX=沪深300 2604沽4350|IO2604-P-4350@s
AZ0BY=沪深300 2604沽4400|IO2604-P-4400@s
AZ0BZ=沪深300 2604沽4450|IO2604-P-4450@s
AZ0Ba=沪深300 2604沽5100|IO2604-P-5100@s
AZ0Bc=沪深300 2604沽5200|IO2604-P-5200@s
AZ0Be=沪深300 2604沽5300|IO2604-P-5300@s
A_uB0=沪深300 2612沽4500|IO2612-P-4500@s
A_uB2=沪深300 2612沽4600|IO2612-P-4600@s
A_uB4=沪深300 2612沽4700|IO2612-P-4700@s
A_uB6=沪深300 2612沽4800|IO2612-P-4800@s
A_uB8=沪深300 2612沽4900|IO2612-P-4900@s
A_uB@=沪深300 2612沽5000|IO2612-P-5000@s
A_uBS=沪深300 2612沽4100|IO2612-P-4100@s
A_uBU=沪深300 2612沽4200|IO2612-P-4200@s
A_uBW=沪深300 2612沽4300|IO2612-P-4300@s
A_uBY=沪深300 2612沽4400|IO2612-P-4400@s
A_uBc=沪深300 2612沽5200|IO2612-P-5200@s
A_uBg=沪深300 2612沽5400|IO2612-P-5400@s
B0yBc=上证50 2605沽2600|HO2605-P-2600@s
B0yBe=上证50 2605沽2650|HO2605-P-2650@s
B0yBg=上证50 2605沽2700|HO2605-P-2700@s
B0yBi=上证50 2605沽2750|HO2605-P-2750@s
B0yBk=上证50 2605沽2800|HO2605-P-2800@s
B0yBm=上证50 2605沽2850|HO2605-P-2850@s
B0yBo=上证50 2605沽2900|HO2605-P-2900@s
B0yBq=上证50 2605沽2950|HO2605-P-2950@s
B0yBs=上证50 2605沽3000|HO2605-P-3000@s
B0yBu=上证50 2605沽3050|HO2605-P-3050@s
B0yBw=上证50 2605沽3100|HO2605-P-3100@s
B0yBy=上证50 2605沽3150|HO2605-P-3150@s
B0yCA=上证50 2605沽3200|HO2605-P-3200@s
B0yCC=上证50 2605沽3250|HO2605-P-3250@s
B0yCE=上证50 2605沽3300|HO2605-P-3300@s
B0yCG=上证50 2605沽3350|HO2605-P-3350@s
B0yCI=上证50 2605沽3400|HO2605-P-3400@s
B28B6=上证50 2606沽2400|HO2606-P-2400@s
B28B8=上证50 2606沽2450|HO2606-P-2450@s
B28B@=上证50 2606沽2500|HO2606-P-2500@s
B28Bc=上证50 2606沽2600|HO2606-P-2600@s
B28Bg=上证50 2606沽2700|HO2606-P-2700@s
B28Bk=上证50 2606沽2800|HO2606-P-2800@s
B28Bo=上证50 2606沽2900|HO2606-P-2900@s
B28Bs=上证50 2606沽3000|HO2606-P-3000@s
B28Bw=上证50 2606沽3100|HO2606-P-3100@s
B28CA=上证50 2606沽3200|HO2606-P-3200@s
B28CE=上证50 2606沽3300|HO2606-P-3300@s
B28CI=上证50 2606沽3400|HO2606-P-3400@s
B28CM=上证50 2606沽3500|HO2606-P-3500@s
B7OBc=上证50 2609沽2600|HO2609-P-2600@s
B7OBg=上证50 2609沽2700|HO2609-P-2700@s
B7OBk=上证50 2609沽2800|HO2609-P-2800@s
B7OBo=上证50 2609沽2900|HO2609-P-2900@s
B7OBs=上证50 2609沽3000|HO2609-P-3000@s
B7OBw=上证50 2609沽3100|HO2609-P-3100@s
B7OCA=上证50 2609沽3200|HO2609-P-3200@s
B7OCE=上证50 2609沽3300|HO2609-P-3300@s
B7OCI=上证50 2609沽3400|HO2609-P-3400@s
B7OCM=上证50 2609沽3500|HO2609-P-3500@s
BFGB0=上证50 2603购2250|HO2603-C-2250@s
BFGB2=上证50 2603购2300|HO2603-C-2300@s
BFGB4=上证50 2603购2350|HO2603-C-2350@s
BFGB6=上证50 2603购2400|HO2603-C-2400@s
BFGB8=上证50 2603购2450|HO2603-C-2450@s
BFGB@=上证50 2603购2500|HO2603-C-2500@s
BFGBc=上证50 2603购2600|HO2603-C-2600@s
