[name_32_32]
ConfigVer=20260320_3042307063
000016=深康佳Ａ|深康佳Ａ@f
000017=深中华A|深中华A@f
000019=深粮控股|深粮控股@f
000020=深华发Ａ|深华发Ａ@f
000021=深科技|深科技@f
000025=特  力Ａ|特  力Ａ@f
000026=飞亚达|飞亚达@f
000027=深圳能源|深圳能源@f
000028=国药一致|国药一致@f
000029=深深房Ａ|深深房Ａ@f
000030=富奥股份|富奥股份@f
000031=大悦城|大悦城@f
000032=深桑达Ａ|深桑达Ａ@f
000034=神州数码|神州数码@f
000035=中国天楹|中国天楹@f
000036=华联控股|华联控股@f
000037=深南电A|深南电A@f
000039=中集集团|中集集团@f
000042=中洲控股|中洲控股@f
000045=深纺织Ａ|深纺织Ａ@f
000048=京基智农|京基智农@f
000049=德赛电池|德赛电池@f
000050=深天马Ａ|深天马Ａ@f
000055=方大集团|方大集团@f
000056=皇庭国际|皇庭国际@f
000058=深 赛 格|深 赛 格@f
000059=华锦股份|华锦股份@f
000060=中金岭南|中金岭南@f
000061=农 产 品|农 产 品@f
000062=深圳华强|深圳华强@f
000063=中兴通讯|中兴通讯@f
000065=北方国际|北方国际@f
000066=中国长城|中国长城@f
000068=华控赛格|华控赛格@f
000069=华侨城Ａ|华侨城Ａ@f
000070=特发信息|特发信息@f
000078=海王生物|海王生物@f
000088=盐 田 港|盐 田 港@f
000089=深圳机场|深圳机场@f
000090=天健集团|天健集团@f
000096=广聚能源|广聚能源@f
000099=中信海直|中信海直@f
000100=TCL科技|TCL科技@f
000151=中成股份|中成股份@f
000153=丰原药业|丰原药业@f
000155=川能动力|川能动力@f
000156=华数传媒|华数传媒@f
000157=中联重科|中联重科@f
000158=常山北明|常山北明@f
000159=国际实业|国际实业@f
000166=申万宏源|申万宏源@f
000301=东方盛虹|东方盛虹@f
000333=美的集团|美的集团@f
000338=潍柴动力|潍柴动力@f
000400=许继电气|许继电气@f
000401=金隅冀东|金隅冀东@f
000402=金 融 街|金 融 街@f
000403=派林生物|派林生物@f
000404=长虹华意|长虹华意@f
000407=胜利股份|胜利股份@f
000408=藏格矿业|藏格矿业@f
000409=云鼎科技|云鼎科技@f
000410=沈阳机床|沈阳机床@f
000411=英特集团|英特集团@f
000415=渤海租赁|渤海租赁@f
000417=合百集团|合百集团@f
000419=通程控股|通程控股@f
000420=吉林化纤|吉林化纤@f
000421=南京公用|南京公用@f
000422=湖北宜化|湖北宜化@f
000423=东阿阿胶|东阿阿胶@f
000425=徐工机械|徐工机械@f
000426=兴业银锡|兴业银锡@f
000428=华天酒店|华天酒店@f
000429=粤高速Ａ|粤高速Ａ@f
000430=ST张家界|ST张家界@f
000488=ST晨鸣|ST晨鸣@f
000498=山东路桥|山东路桥@f
000501=武商集团|武商集团@f
000503=国新健康|国新健康@f
000504=*ST生物|*ST生物@f
000505=京粮控股|京粮控股@f
000506=招金黄金|招金黄金@f
000507=珠海港|珠海港@f
000509=华塑控股|华塑控股@f
000510=新金路|新金路@f
000513=丽珠集团|丽珠集团@f
000514=渝 开 发|渝 开 发@f
000516=国际医学|国际医学@f
000517=荣安地产|荣安地产@f
000518=*ST四环|*ST四环@f
000519=中兵红箭|中兵红箭@f
000520=凤凰航运|凤凰航运@f
000521=长虹美菱|长虹美菱@f
000523=红棉股份|红棉股份@f
000524=岭南控股|岭南控股@f
000525=红太阳|红太阳@f
000526=学大教育|学大教育@f
000528=柳    工|柳    工@f
000529=广弘控股|广弘控股@f
000530=冰山冷热|冰山冷热@f
000531=穗恒运Ａ|穗恒运Ａ@f
000532=华金资本|华金资本@f
000533=顺钠股份|顺钠股份@f
000534=万泽股份|万泽股份@f
000536=华映科技|华映科技@f
000537=绿发电力|绿发电力@f
000538=云南白药|云南白药@f
000539=粤电力Ａ|粤电力Ａ@f
000541=佛山照明|佛山照明@f
000543=皖能电力|皖能电力@f
000544=中原环保|中原环保@f
000545=金浦钛业|金浦钛业@f
000546=金圆股份|金圆股份@f
000547=航天发展|航天发展@f
000548=湖南投资|湖南投资@f
000550=江铃汽车|江铃汽车@f
000551=创元科技|创元科技@f
000552=甘肃能化|甘肃能化@f
000553=安道麦A|安道麦A@f
000554=泰山石油|泰山石油@f
000555=神州信息|神州信息@f
000557=西部创业|西部创业@f
000558=天府文旅|天府文旅@f
000559=万向钱潮|万向钱潮@f
000560=我爱我家|我爱我家@f
000561=烽火电子|烽火电子@f
000563=陕国投Ａ|陕国投Ａ@f
000564=供销大集|供销大集@f
000565=渝三峡Ａ|渝三峡Ａ@f
000566=海南海药|海南海药@f
000567=海德股份|海德股份@f
000568=泸州老窖|泸州老窖@f
000570=苏常柴Ａ|苏常柴Ａ@f
000571=新大洲A|新大洲A@f
000572=海马汽车|海马汽车@f
000573=粤宏远Ａ|粤宏远Ａ@f
000576=甘化科工|甘化科工@f
000581=威孚高科|威孚高科@f
000582=北部湾港|北部湾港@f
000586=汇源通信|汇源通信@f
000589=贵州轮胎|贵州轮胎@f
000590=古汉医药|古汉医药@f
000591=太阳能|太阳能@f
000592=平潭发展|平潭发展@f
000593=德龙汇能|德龙汇能@f
000595=*ST宝实|*ST宝实@f
000596=古井贡酒|古井贡酒@f
000597=东北制药|东北制药@f
000598=兴蓉环境|兴蓉环境@f
000599=青岛双星|青岛双星@f
000600=建投能源|建投能源@f
000601=韶能股份|韶能股份@f
000603=盛达资源|盛达资源@f
000605=渤海股份|渤海股份@f
000607=华媒控股|华媒控股@f
000608=*ST阳光|*ST阳光@f
000609=ST中迪|ST中迪@f
000610=西安旅游|西安旅游@f
000612=焦作万方|焦作万方@f
000615=*ST美谷|*ST美谷@f
000617=中油资本|中油资本@f
000619=海螺新材|海螺新材@f
000620=盈新发展|盈新发展@f
000623=吉林敖东|吉林敖东@f
000625=长安汽车|长安汽车@f
000626=远大控股|远大控股@f
000628=高新发展|高新发展@f
000629=钒钛股份|钒钛股份@f
000630=铜陵有色|铜陵有色@f
000631=顺发恒能|顺发恒能@f
000632=三木集团|三木集团@f
000633=合金投资|合金投资@f
000635=英 力 特|英 力 特@f
000636=风华高科|风华高科@f
000637=茂化实华|茂化实华@f
000638=*ST万方|*ST万方@f
000639=西王食品|西王食品@f
000650=仁和药业|仁和药业@f
000651=格力电器|格力电器@f
000652=泰达股份|泰达股份@f
000655=金岭矿业|金岭矿业@f
000656=*ST金科|*ST金科@f
000657=中钨高新|中钨高新@f
000659=珠海中富|珠海中富@f
000661=长春高新|长春高新@f
000663=永安林业|永安林业@f
000665=湖北广电|湖北广电@f
000668=*ST荣控|*ST荣控@f
000669=ST金鸿|ST金鸿@f
000670=盈方微|盈方微@f
000672=上峰水泥|上峰水泥@f
000676=智度股份|智度股份@f
000677=恒天海龙|恒天海龙@f
000678=襄阳轴承|襄阳轴承@f
000679=大连友谊|大连友谊@f
000680=山推股份|山推股份@f
000681=视觉中国|视觉中国@f
000682=东方电子|东方电子@f
000683=博源化工|博源化工@f
